cohort_q,m00,m03,m06,m12,m18,m24,m36
2022-10-01,2272.0,9035.0,15864.0,29213.0,42354.0,54873.0,76006.0
2023-01-01,2341.0,8976.0,15934.0,29492.0,42391.0,55129.0,78437.0
2023-04-01,1930.0,7617.0,13481.0,24771.0,35421.0,44888.0,60176.0
2023-07-01,1935.0,7740.0,13224.0,23756.0,34567.0,44992.0,63359.0
2023-10-01,2580.0,9921.0,17513.0,32494.0,47337.0,62073.0,
2024-01-01,2199.0,8187.0,14284.0,26420.0,37883.0,48956.0,
2024-04-01,2526.0,9938.0,17080.0,31144.0,45135.0,57584.0,
2024-07-01,1909.0,7366.0,12771.0,23228.0,33233.0,40437.0,
2024-10-01,1936.0,7571.0,12960.0,23687.0,32872.0,,
2025-01-01,1999.0,7676.0,13433.0,24516.0,32557.0,,
2025-04-01,1666.0,6454.0,11305.0,20491.0,,,
2025-07-01,2316.0,8546.0,14203.0,23981.0,,,
2025-10-01,2444.0,9314.0,16531.0,,,,
2026-01-01,2172.0,8302.0,12490.0,,,,
2026-04-01,1725.0,5402.0,,,,,
2026-07-01,1320.0,,,,,,
